Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 19/07/2024
TIME       : 16:12:29
FILENAME   : C:\Users\jhansson\OneDrive - University of Guelph\Sulfolane-hansson workfolder\02 RScripts\Transducer data\North Creek\hydrostream\Data\CSV\NC-57-2.5_240719161229_V9844.CSV
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..22-V9844  317.
  Instrument number       =          UTC+0     
                          =0
  Location                =NC-57-2.5
  Sample period           =S01
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     ms/cm
  Range                   =30.000    ms/cm


[Series settings]
  Serial number           =..22-V9844  317.
  Instrument number       =          UTC+0     
  Location                =NC-57-2.5
  Sample period           =00 00:00:01 0
  Sample method           =T   
  Start date / time       =54:21:02 05/07/24
  End date / time         =47:32:02 05/07/24
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3 from data header]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     ms/cm
  Range                   =30.000    ms/cm


Date/time,Pressure[cmH2O],Temperature[°C],2:Spec.cond.[ms/cm]
2024/07/05 02:26:33,2150.000,22.807,0.001
2024/07/05 02:26:34,2150.000,22.807,0.001
2024/07/05 02:26:35,2150.000,22.807,0.001
2024/07/05 02:26:36,2150.000,22.807,0.001
2024/07/05 02:26:37,2150.000,22.807,0.001
2024/07/05 02:26:38,2150.000,22.807,0.001
2024/07/05 02:26:39,2150.000,22.807,0.001
2024/07/05 02:26:40,2150.000,22.807,0.001
2024/07/05 02:26:41,2150.000,22.807,0.001
2024/07/05 02:26:42,2150.000,22.803,0.001
2024/07/05 02:26:43,2150.000,22.807,0.001
2024/07/05 02:26:44,2150.000,22.807,0.001
2024/07/05 02:26:45,2150.000,22.807,0.001
2024/07/05 02:26:46,2150.000,22.807,0.001
2024/07/05 02:26:47,2150.000,22.807,0.001
2024/07/05 02:26:48,2150.000,22.807,0.001
2024/07/05 02:26:49,2150.000,22.807,0.001
2024/07/05 02:26:50,2150.000,22.807,0.001
2024/07/05 02:26:51,2150.000,22.807,0.001
2024/07/05 02:26:52,2150.000,22.803,0.001
2024/07/05 02:26:53,2150.000,22.803,0.001
2024/07/05 02:26:54,2150.000,22.807,0.001
2024/07/05 02:26:55,2150.000,22.807,0.001
2024/07/05 02:26:56,2150.000,22.807,0.001
2024/07/05 02:26:57,2150.000,22.803,0.001
2024/07/05 02:26:58,2150.000,22.803,0.001
2024/07/05 02:26:59,2150.000,22.807,0.001
2024/07/05 02:27:00,2150.000,22.803,0.001
2024/07/05 02:27:01,2150.000,22.807,0.001
2024/07/05 02:27:02,2150.000,22.807,0.001
2024/07/05 02:27:03,2150.000,22.807,0.001
2024/07/05 02:27:04,2150.000,22.803,0.001
2024/07/05 02:27:05,2150.000,22.807,0.001
2024/07/05 02:27:06,2150.000,22.807,0.001
2024/07/05 02:27:07,2150.000,22.807,0.001
2024/07/05 02:27:08,2150.000,22.803,0.001
2024/07/05 02:27:09,2150.000,22.803,0.001
2024/07/05 02:27:10,2150.000,22.807,0.001
2024/07/05 02:27:11,2150.000,22.803,0.001
2024/07/05 02:27:12,2150.000,22.803,0.001
2024/07/05 02:27:13,2150.000,22.807,0.001
2024/07/05 02:27:14,2150.000,22.807,0.001
2024/07/05 02:27:15,2150.000,22.803,0.001
2024/07/05 02:27:16,2150.000,22.803,0.001
2024/07/05 02:27:17,2150.000,22.807,0.001
2024/07/05 02:27:18,2150.000,22.803,0.001
2024/07/05 02:27:19,2150.000,22.807,0.001
2024/07/05 02:27:20,2150.000,22.807,0.001
2024/07/05 02:27:21,2150.000,22.803,0.001
2024/07/05 02:27:22,2150.000,22.803,0.001
2024/07/05 02:27:23,2150.000,22.803,0.001
2024/07/05 02:27:24,2150.000,22.803,0.001
2024/07/05 02:27:25,2150.000,22.803,0.001
2024/07/05 02:27:26,2150.000,22.803,0.001
2024/07/05 02:27:27,2150.000,22.803,0.001
2024/07/05 02:27:28,2150.000,22.803,0.001
2024/07/05 02:27:29,2150.000,22.803,0.001
2024/07/05 02:27:30,2150.000,22.803,0.001
2024/07/05 02:27:31,2150.000,22.803,0.001
2024/07/05 02:27:32,2150.000,22.803,0.001
2024/07/05 02:27:33,2150.000,22.803,0.001
2024/07/05 02:27:34,2150.000,22.803,0.001
2024/07/05 02:27:35,2150.000,22.803,0.001
2024/07/05 02:27:36,2150.000,22.803,0.001
2024/07/05 02:27:37,2150.000,22.803,0.001
2024/07/05 02:27:38,2150.000,22.803,0.001
2024/07/05 02:27:39,2150.000,22.803,0.001
2024/07/05 02:27:40,2150.000,22.803,0.001
2024/07/05 02:27:41,2150.000,22.803,0.001
2024/07/05 02:27:42,2150.000,22.803,0.001
2024/07/05 02:27:43,2150.000,22.803,0.001
2024/07/05 02:27:44,2150.000,22.803,0.001
2024/07/05 02:27:45,2150.000,22.803,0.001
2024/07/05 02:27:46,2150.000,22.803,0.001
2024/07/05 02:27:47,2150.000,22.803,0.001
2024/07/05 02:27:48,2150.000,22.803,0.001
2024/07/05 02:27:49,2150.000,22.800,0.001
2024/07/05 02:27:50,2150.000,22.803,0.001
2024/07/05 02:27:51,2150.000,22.803,0.001
2024/07/05 02:27:52,2150.000,22.803,0.001
2024/07/05 02:27:53,2150.000,22.803,0.001
2024/07/05 02:27:54,2150.000,22.803,0.001
2024/07/05 02:27:55,2150.000,22.803,0.001
2024/07/05 02:27:56,2150.000,22.803,0.001
2024/07/05 02:27:57,2150.000,22.803,0.001
2024/07/05 02:27:58,2150.000,22.803,0.001
2024/07/05 02:27:59,2150.000,22.803,0.001
2024/07/05 02:28:00,2150.000,22.803,0.001
2024/07/05 02:28:01,2150.000,22.803,0.001
2024/07/05 02:28:02,2150.000,22.803,0.001
2024/07/05 02:28:03,2150.000,22.803,0.001
2024/07/05 02:28:04,2150.000,22.803,0.001
2024/07/05 02:28:05,2150.000,22.803,0.001
2024/07/05 02:28:06,2150.000,22.803,0.001
2024/07/05 02:28:07,2150.000,22.803,0.001
2024/07/05 02:28:08,2150.000,22.803,0.001
2024/07/05 02:28:09,2150.000,22.803,0.001
2024/07/05 02:28:10,2150.000,22.803,0.001
2024/07/05 02:28:11,2150.000,22.803,0.001
2024/07/05 02:28:12,2150.000,22.803,0.001
2024/07/05 02:28:13,2150.000,22.803,0.001
2024/07/05 02:28:14,2150.000,22.803,0.001
2024/07/05 02:28:15,2150.000,22.803,0.001
2024/07/05 02:28:16,2150.000,22.803,0.001
2024/07/05 02:28:17,2150.000,22.803,0.001
2024/07/05 02:28:18,2150.000,22.803,0.001
2024/07/05 02:28:19,2150.000,22.803,0.001
2024/07/05 02:28:20,2150.000,22.803,0.001
2024/07/05 02:28:21,2150.000,22.800,0.001
2024/07/05 02:28:22,2150.000,22.803,0.001
2024/07/05 02:28:23,2150.000,22.803,0.001
2024/07/05 02:28:24,2150.000,22.803,0.001
2024/07/05 02:28:25,2150.000,22.800,0.001
2024/07/05 02:28:26,2150.000,22.803,0.001
2024/07/05 02:28:27,2150.000,22.803,0.001
2024/07/05 02:28:28,2150.000,22.803,0.001
2024/07/05 02:28:29,2150.000,22.803,0.001
2024/07/05 02:28:30,2150.000,22.803,0.001
2024/07/05 02:28:31,2150.000,22.803,0.001
2024/07/05 02:28:32,2150.000,22.800,0.001
2024/07/05 02:28:33,2150.000,22.803,0.001
2024/07/05 02:28:34,2150.000,22.803,0.001
2024/07/05 02:28:35,2150.000,22.803,0.001
2024/07/05 02:28:36,2150.000,22.803,0.001
2024/07/05 02:28:37,2150.000,22.803,0.001
